Language,Function Name,Frequency
R,mutate,39
R,read.csv,33
R,select,31
R,group_by,27
R,filter,20
R,summarise,16
R,read_csv,14
R,as.data.frame,14
R,rename,11
R,rbind,8
R,arrange,8
R,None,8
R,spread,6
R,left_join,6
R,inner_join,6
R,gather,6
R,distinct,6
R,unite,4
R,separate,4
R,extract,4
R,summarize,3
R,subset,3
R,slice,3
R,bind_cols,3
R,unique,2
R,tibble,2
R,replace_na,2
R,pivot_wider,2
R,na.omit,2
R,merge,2
R,data.frame,2
R,cbind,2
R,bind_rows,2
R,ungroup,1
R,top_n,1
R,summarise_each,1
R,pivot_longer,1
R,mutate_each,1
R,list,1
R,import,1
R,head,1
R,drop_na,1
R,dplyr::summarise,1
R,dplyr::count,1
R,data_frame,1
R,count,1
R,as_tibble,1
Python,None,142
Python,read_csv,55
Python,assign,35
Python,apply,27
Python,groupby,26
Python,rename,25
Python,merge,24
Python,fillna,20
Python,concat,20
Python,read_excel,19
Python,reset_index,18
Python,replace,18
Python,sort_values,17
Python,drop,17
Python,astype,12
Python,to_datetime,11
Python,DataFrame,11
Python,set_index,7
Python,map,7
Python,iloc,7
Python,dropna,7
Python,copy,7
Python,unstack,6
Python,to_numeric,6
Python,split,5
Python,loc,5
Python,drop_duplicates,5
Python,append,5
Python,value_counts,4
Python,round,4
Python,get_dummies,3
Python,to_frame,2
Python,slice,2
Python,pivot_table,2
Python,pivot,2
Python,lower,2
Python,join,2
Python,get_level_values,2
Python,extract,2
Python,agg,2
Python,Series,2
Python,where,1
Python,str,1
Python,sort_index,1
Python,reindex,1
Python,read_file,1
Python,query,1
Python,median,1
Python,mean,1
Python,isnull,1
Python,head,1
Python,floor,1
